"GEOID","NAME","MedHouseIncome","Pct_CostBurdened_Owners","Pct_CostBurdened_Renters","Pct_CostBurdened_15_24","Pct_CostBurdened_25_34","Pct_CostBurdened_35_64","Pct_CostBurdened_65_plus","Pct_RenterCostBurdened_15_24","Pct_RenterCostBurdened_25_34","Pct_RenterCostBurdened_35_64","Pct_RenterCostBurdened_65_plus","Pct_CostBurdened_White_Owners","Pct_CostBurdened_Black_Owners","Pct_CostBurdened_Other_Owners","Pct_CostBurdened_White_Renters","Pct_CostBurdened_Black_Renters","Pct_CostBurdened_Other_Renters","isUrban","Unemployment_Rate","Pct_Bachelors_Higher"
"13033","Burke County, Georgia",50739,20.8704851141,44.1532258064516,0,8.82352941176471,19.6668324216808,25.0881834215168,48.8636363636364,48.3870967741936,45.1339915373766,35.1230425055928,15.2275077559462,31.1570247933884,0,33.030303030303,49.2877492877493,0,0,5.77028258887876,14.2600781900916
"13035","Butts County, Georgia",59221,16.2727126547676,47.9067930489731,32.6530612244898,25.7518796992481,15.2720889409011,14.373232799246,34.6,49.7568881685575,56.6455696202532,11.2582781456954,13.415150232755,20.4212454212454,0,29.3950850661626,61.5557217651459,0,0,4.97651734104046,13.9027192646496
"13037","Calhoun County, Georgia",55714,12.8556375131718,33.2737030411449,0,0,10.0806451612903,20.0557103064067,0,16.4835164835165,37.3390557939914,45.6521739130435,15.1807228915663,10.916179337232,0,25.4716981132075,34.9887133182844,0,0,7.36270368135184,12.143536121673
"13039","Camden County, Georgia",72399,16.6368381804623,49.9474651956921,25.78125,29.5826730058109,14.2857142857143,14.2025089605735,71.3705583756345,49.5119094103866,39.9829497016198,77.4134790528233,16.5423599158539,10.6181455633101,14.8541114058355,41.9919246298789,58.6965376782077,82.1428571428571,1,4.68804920913884,22.4331771837972
"13043","Candler County, Georgia",50431,14.9579188982402,24.5379222434672,0,17.8378378378378,12.1967654986523,19.073275862069,0,27.5471698113208,23.9860950173812,28.4552845528455,15.505132360886,12.655601659751,0,21.7090069284065,30.9576837416481,7.69230769230769,0,4.03720143732826,13.6357388316151
"13045","Carroll County, Georgia",72327,18.1378876642505,48.2480388494583,29.4339622641509,23.2261640798226,16.0928100830708,19.4547563805104,64.8192771084337,42.8425705542333,41.5982076176251,64.0019147917664,14.9451442503048,28.3333333333333,18.8811188811189,44.0129032258064,47.4935882490091,51.0204081632653,1,6.05347315790328,22.4308996172114
"13047","Catoosa County, Georgia",72425,16.8458598726115,40.6969603929997,14.041095890411,21.5475550779151,16.0265141196767,17.0150178046137,36.5079365079365,41.1178749308246,34.882827506723,51.5940143135979,15.2421494913755,28.1094527363184,34.75,38.5958904109589,90.4494382022472,29.4871794871795,1,3.8851450336947,24.4709382726396
"13049","Charlton County, Georgia",48534,27.3410585656123,46.9204927211646,0,35.2941176470588,37.6923076923077,8.11320754716981,10.7142857142857,62.0588235294118,29.0419161676647,64.4171779141104,18.49376114082,46.8509984639017,0,29.2246520874751,74.0331491712707,0,0,10.0890207715134,11.3971014492754
"13051","Chatham County, Georgia",69575,24.4304721605554,48.0738239582534,41.0828025477707,28.804347826087,21.9894853348091,26.6610773422763,56.2258856541564,49.1243086647353,44.0995065789474,53.0228521839745,20.5488178943891,27.3008801477779,34.1928552242815,40.3032901566096,51.9688927292927,39.644128113879,1,5.68277810041708,36.7539149121562
"13053","Chattahoochee County, Georgia",59221,16.7155425219941,38.2716049382716,0,0,23.6775818639798,9.09090909090909,52.9411764705882,45.6813819577735,31.7626527050611,0,17.4603174603175,22.9787234042553,10.8695652173913,38.7234042553192,31.5352697095436,33.3333333333333,0,7.88321167883212,27.5805313896073
"13055","Chattooga County, Georgia",47785,14.0399285830222,44.4817175444482,18.1818181818182,19.3684210526316,11.3032340698047,16.3149350649351,65.2830188679245,42.2932330827068,42.4223980523433,42.6987060998152,12.5813449023861,21.3793103448276,6.89655172413793,38.6991869918699,48.3974358974359,61.744966442953,0,4.84478371501272,10.7269200045646
"13057","Cherokee County, Georgia",105442,17.2185516765055,52.0473319937486,73.2436472346786,16.8732872243247,14.1314870154468,22.5738497630105,55.1251008878127,55.7114228456914,45.7181275737457,67.2070969715509,15.1799111927729,17.2890733056708,20.36158861885,49.3666956413759,52.1567336187027,52.2997416020672,1,3.21370539027864,39.4530689088501
"13059","Clarke County, Georgia",52267,21.0288323782235,55.8994501178319,49.618320610687,27.5876120619397,17.9157571347724,23.0864708316094,74.0973971452561,45.4869358669834,48.2022368056197,55.1013734466972,17.7516411378556,25.6895510368432,28.1475541299118,54.3976656940392,55.3953488372093,49.4541484716157,1,5.12963561088763,48.6708502787578
"13061","Clay County, Georgia",48715,27.3428886438809,29.4117647058824,0,0,26.7813267813268,28.3673469387755,76.4705882352941,56.25,26.3888888888889,3.17460317460317,12.4050632911392,35.8148893360161,0,24.5901639344262,27.0142180094787,0,0,4.42553191489362,22.5560081466395
"13063","Clayton County, Georgia",58507,27.2080025630985,54.7164468894102,62.3567921440262,29.3106853644084,24.5724498212813,31.7159428490593,62.0206735578526,57.9730323904441,50.4929809771653,63.5786802030457,20.1058750259498,29.3125354816036,13.8709142193463,44.2176870748299,54.880694143167,41.6692619121769,1,6.72776560387374,21.3428480475382
"13065","Clinch County, Georgia",55549,13.9225880993645,17.5913396481732,21.6666666666667,25.4658385093168,5.46218487394958,24.1935483870968,0,17.4311926605505,19.1419141914191,14.7058823529412,11.5789473684211,23.134328358209,10,16.0762942779292,16.3793103448276,0,0,3.42007434944238,13.020163020163
"13067","Cobb County, Georgia",98712,17.8293075028998,47.4764058401999,39.3283582089552,19.5232575719397,16.0677998517775,21.0085381007736,61.9955609362389,43.9043055832834,43.151244251515,63.3964817320704,15.031298528729,20.1699618453,21.0209410134811,40.5348685516576,50.7786645902278,41.3159250987803,1,4.54604289940828,50.3827492643844
"13069","Coffee County, Georgia",50175,16.7373538843488,31.6581136082109,30.0847457627119,24.5045045045045,9.72732546896152,24.5079365079365,30.8483290488432,26.1904761904762,30.6340454858718,46.2779156327543,15.3727362066545,22.0155968806239,1.171875,27.7602523659306,31.3767803193785,75.3521126760563,0,4.85202448475319,13.5084362497826
"13071","Colquitt County, Georgia",49691,15.7879924953096,37.725719863348,61.7486338797814,8.08823529411765,12.2455902306649,21.7578013169196,62.6237623762376,31.3782991202346,34.4585987261146,44.8748991121873,11.701994230528,26.6463414634146,21.8592964824121,30.4669260700389,40.5861099959855,29.1607396870555,0,4.09579017390478,15.6964794802095
"13073","Columbia County, Georgia",96122,16.6996893422372,41.6532762006785,39.9538106235566,20.1424438014689,15.2500817260543,17.5650962292084,54.590570719603,32.0800485142511,38.8181976642845,65.8163265306122,13.502389803505,15.8034137728075,16.9396723931282,38.8470066518847,40.090560780216,37.2972972972973,1,4.77792732166891,37.8358174087745
